epoch,value,metric,data
1,0.23556520918011664,loss,training
2,0.06987450215841333,loss,training
3,0.04837073715652029,loss,training
4,0.037794738723586005,loss,training
5,0.02991262653407951,loss,training
6,0.025600314899347724,loss,training
1,0.9290416836738586,acc,training
2,0.9788541793823242,acc,training
3,0.9851041436195374,acc,training
4,0.9883750081062317,acc,training
5,0.9902291893959045,acc,training
6,0.991895854473114,acc,training
1,0.088513684262832,loss,validation
2,0.05066896706819534,loss,validation
3,0.054338935439785324,loss,validation
4,0.03791771018008391,loss,validation
5,0.04226987810432911,loss,validation
6,0.03624913653482993,loss,validation
1,0.9751666784286499,acc,validation
2,0.9854166507720947,acc,validation
3,0.9831666946411133,acc,validation
4,0.9880833625793457,acc,validation
5,0.987666666507721,acc,validation
6,0.9895833134651184,acc,validation
